ind;press;temp
139;5.519355932;25.453
140;5.607355932;25.451
141;5.696355932;25.45
142;5.714355932;25.453
143;5.740355932;25.45
144;5.714355932;25.45
145;5.714355932;25.451
146;5.714355932;25.451
147;5.722355932;25.451
148;5.731355932;25.451
149;5.838355932;25.451
150;5.944355932;25.452
151;6.041355932;25.45
152;6.121355932;25.451
153;6.174355932;25.449
154;6.148355932;25.449
155;6.166355932;25.451
156;6.148355932;25.448
157;6.104355932;25.447
158;6.121355932;25.448
159;6.121355932;25.449
160;6.210355932;25.448
161;6.307355932;25.448
162;6.458355932;25.447
163;6.547355932;25.451
164;6.653355932;25.448
165;6.697355932;25.45
166;6.653355932;25.449
167;6.600355932;25.448
168;6.547355932;25.449
169;6.502355932;25.449
170;6.511355932;25.449
171;6.618355932;25.447
172;6.733355932;25.448
173;6.875355932;25.448
174;6.990355932;25.449
175;7.079355932;25.446
176;7.141355932;25.448
177;7.061355932;25.446
178;6.981355932;25.447
179;6.919355932;25.448
180;6.901355932;25.448
181;6.937355932;25.447
182;7.061355932;25.449
183;7.194355932;25.447
184;7.371355932;25.448
185;7.531355932;25.449
186;7.628355932;25.446
187;7.690355932;25.451
188;7.752355932;25.447
189;7.752355932;25.446
190;7.726355932;25.447
191;7.726355932;25.446
192;7.717355932;25.445
193;7.726355932;25.445
194;7.814355932;25.446
195;7.929355932;25.449
196;8.089355932;25.445
197;8.240355932;25.445
198;8.390355932;25.447
199;8.470355932;25.446
200;8.444355932;25.447
201;8.408355932;25.446
202;8.390355932;25.446
203;8.390355932;25.446
204;8.444355932;25.446
205;8.506355932;25.446
206;8.630355932;25.445
207;8.781355932;25.446
208;8.905355932;25.446
209;9.038355932;25.446
210;9.153355932;25.449
211;9.259355932;25.449
212;9.348355932;25.445
213;9.419355932;25.446
214;9.508355932;25.448
215;9.552355932;25.447
216;9.596355932;25.445
217;9.596355932;25.446
218;9.614355932;25.446
219;9.632355932;25.446
220;9.738355932;25.443
221;9.827355932;25.446
222;9.898355932;25.443
223;9.915355932;25.443
224;9.942355932;25.443
225;9.986355932;25.445
226;10.05735593;25.442
227;10.12835593;25.442
228;10.19035593;25.445
